ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
35	"ENSG00000242726.1"	"RPP21"	chrGL000255.1	+	1605975	1606251	1605975	1606076	1607109	1607235	35	0	0			150	75	NA	NA	NA		NA
36	"ENSG00000242726.1"	"RPP21"	chrGL000255.1	+	1607109	1607242	1607109	1607235	1607390	1607535	36	0	0			82	75	NA	NA	NA		NA
37	"ENSG00000206505.8"	"HLA-A"	chrGL000255.1	+	1205073	1205208	1205073	1205190	1205628	1205661	37	0	0			93	75	NA	NA	NA		NA
38	"ENSG00000206511.6"	"GABBR1"	chrGL000255.1	-	901566	901752	901630	901752	900195	900216	38	0	0			139	75	NA	NA	NA		NA
39	"ENSG00000236222.4"	"WDR46"	chrGL000254.1	-	4730084	4730215	4730134	4730215	4729878	4729991	39	0	0			125	75	NA	NA	NA		NA
40	"ENSG00000230763.7"	"HLA-DPB1"	chrGL000254.1	+	4390400	4390528	4390400	4390511	4390840	4390864	40	0	0			92	75	NA	NA	NA		NA
41	"ENSG00000230514.7"	"AGER"	chrGL000254.1	-	3530879	3530992	3530927	3530992	3530717	3530805	41	0	0			123	75	NA	NA	NA		NA
42	"ENSG00000235758.5"	"AGPAT1"	chrGL000254.1	-	3518855	3519111	3518902	3519111	3518542	3518676	42	0	0			122	75	NA	NA	NA		NA
43	"ENSG00000226033.5"	"STK19"	chrGL000254.1	+	3326524	3326632	3326524	3326620	3327035	3327175	43	0	0			87	75	NA	NA	NA		NA
44	"ENSG00000224264.5"	"VARS"	chrGL000254.1	-	3129514	3129651	3129560	3129651	3129320	3129426	44	0	0			121	75	NA	NA	NA		NA
45	"ENSG00000224264.5"	"VARS"	chrGL000254.1	-	3129758	3129917	3129875	3129917	3129560	3129651	45	0	0			150	75	NA	NA	NA		NA
46	"ENSG00000223757.4"	"VWA7"	chrGL000254.1	-	3123437	3123716	3123637	3123716	3122806	3122903	46	0	0			150	75	NA	NA	NA		NA
47	"ENSG00000227314.8"	"MSH5"	chrGL000254.1	+	3109291	3109429	3109291	3109339	3109585	3109659	47	0	0			150	75	NA	NA	NA		NA
48	"ENSG00000225211.2"	"NCR3"	chrGL000254.1	-	2937259	2937604	2937314	2937604	2937003	2937111	48	0	0			130	75	NA	NA	NA		NA
49	"ENSG00000235125.4"	"NFKBIL1"	chrGL000254.1	+	2905138	2905360	2905138	2905315	2905531	2906339	49	0	0			120	75	NA	NA	NA		NA
50	"ENSG00000225691.2"	"HLA-C"	chrGL000254.1	-	2617805	2618397	2618277	2618397	2617650	2617698	50	0	0			150	75	NA	NA	NA		NA
51	"ENSG00000224180.4"	"CCHCR1"	chrGL000254.1	-	2494341	2494501	2494399	2494501	2492974	2493126	51	0	0			133	75	NA	NA	NA		NA
52	"ENSG00000227715.6"	"HLA-A"	chrGL000254.1	+	1294183	1294318	1294183	1294300	1294738	1294771	52	0	0			93	75	NA	NA	NA		NA
53	"ENSG00000229295.7"	"HLA-DPB1"	chrGL000253.1	+	4511101	4511229	4511101	4511212	4511541	4511565	53	0	0			92	75	NA	NA	NA		NA
54	"ENSG00000243189.3"	"HLA-DMA"	chrGL000253.1	-	4374261	4374390	4374264	4374390	4373600	4373859	54	0	0			78	75	NA	NA	NA		NA
55	"ENSG00000206484.6"	"NRM"	chrGL000255.1	-	1950734	1950953	1950756	1950953	1948756	1949652	55	0	0			97	75	NA	NA	NA		NA
56	"ENSG00000206484.6"	"NRM"	chrGL000255.1	-	1950734	1950953	1950756	1950953	1949985	1950162	56	0	0			97	75	NA	NA	NA		NA
57	"ENSG00000225412.3"	"BTNL2"	chrGL000253.1	-	3706651	3706999	3706655	3706999	3705348	3705638	57	0	0			79	75	NA	NA	NA		NA
58	"ENSG00000229058.6"	"AGER"	chrGL000253.1	-	3493876	3493989	3493924	3493989	3493714	3493802	58	0	0			123	75	NA	NA	NA		NA
59	"ENSG00000236979.2"	"NCR3"	chrGL000253.1	-	2900442	2900787	2900497	2900787	2900186	2900294	59	0	0			130	75	NA	NA	NA		NA
60	"ENSG00000227565.4"	"NFKBIL1"	chrGL000253.1	+	2868294	2868516	2868294	2868471	2868688	2869496	60	0	0			120	75	NA	NA	NA		NA
61	"ENSG00000237022.5"	"HLA-C"	chrGL000253.1	-	2584162	2584754	2584605	2584754	2584007	2584055	61	0	0			150	75	NA	NA	NA		NA
62	"ENSG00000223533.4"	"CCHCR1"	chrGL000253.1	-	2460763	2460923	2460821	2460923	2459396	2459548	62	0	0			133	75	NA	NA	NA		NA
63	"ENSG00000236271.4"	"FLOT1"	chrGL000253.1	-	2057484	2057575	2057532	2057575	2057060	2057204	63	0	0			123	75	NA	NA	NA		NA
64	"ENSG00000228867.4"	"NRM"	chrGL000253.1	-	2005897	2006116	2005919	2006116	2003919	2004815	64	0	0			97	75	NA	NA	NA		NA
65	"ENSG00000228867.4"	"NRM"	chrGL000253.1	-	2005897	2006116	2005919	2006116	2005148	2005325	65	0	0			97	75	NA	NA	NA		NA
66	"ENSG00000235658.4"	"ATAT1"	chrGL000253.1	+	1942734	1943123	1942734	1942841	1943308	1943369	66	0	0			150	75	NA	NA	NA		NA
67	"ENSG00000231641.5"	"TRIM26"	chrGL000254.1	-	1548277	1548765	1548502	1548765	1548040	1548136	67	0	0			150	75	NA	NA	NA		NA
68	"ENSG00000239865.1"	"RPP21"	chrGL000253.1	+	1661151	1661427	1661151	1661252	1662285	1662411	68	0	0			150	75	NA	NA	NA		NA
69	"ENSG00000239865.1"	"RPP21"	chrGL000253.1	+	1662285	1662418	1662285	1662411	1662566	1662711	69	0	0			82	75	NA	NA	NA		NA
70	"ENSG00000231834.5"	"HLA-A"	chrGL000253.1	+	1204679	1204816	1204679	1204796	1205236	1205269	70	0	0			95	75	NA	NA	NA		NA
71	"ENSG00000226916.4"	"WDR46"	chrGL000252.1	-	4537666	4537797	4537716	4537797	4537460	4537573	71	0	0			125	75	NA	NA	NA		NA
72	"ENSG00000237710.6"	"HLA-DPB1"	chrGL000252.1	+	4334886	4335014	4334886	4334997	4335326	4335350	72	0	0			92	75	NA	NA	NA		NA
73	"ENSG00000226257.5"	"STK19"	chrGL000252.1	+	3232260	3232368	3232260	3232356	3232771	3232911	73	0	0			87	75	NA	NA	NA		NA
74	"ENSG00000223493.5"	"SKIV2L"	chrGL000252.1	+	3222639	3222780	3222639	3222676	3222874	3223111	74	0	0			150	75	NA	NA	NA		NA
75	"ENSG00000206268.7"	"NELFE"	chrGL000252.1	-	3211667	3211814	3211731	3211814	3210300	3210370	75	0	0			139	75	NA	NA	NA		NA
76	"ENSG00000227333.4"	"EHMT2"	chrGL000252.1	-	3138249	3138375	3138270	3138375	3138003	3138158	76	0	0			96	75	NA	NA	NA		NA
77	"ENSG00000228263.4"	"SLC44A4"	chrGL000252.1	-	3129168	3129289	3129210	3129289	3128287	3128387	77	0	0			117	75	NA	NA	NA		NA
78	"ENSG00000230048.4"	"VWA7"	chrGL000252.1	-	3029322	3029601	3029522	3029601	3028691	3028788	78	0	0			150	75	NA	NA	NA		NA
79	"ENSG00000266027.2"	"MSH5-SAPCD1"	chrGL000252.1	+	3015176	3015314	3015176	3015224	3015470	3015544	79	0	0			150	75	NA	NA	NA		NA
80	"ENSG00000237103.2"	"NCR3"	chrGL000252.1	-	2843103	2843448	2843158	2843448	2842847	2842955	80	0	0			130	75	NA	NA	NA		NA
81	"ENSG00000236196.4"	"NFKBIL1"	chrGL000252.1	+	2810969	2811191	2810969	2811146	2811363	2812171	81	0	0			120	75	NA	NA	NA		NA
82	"ENSG00000206355.7"	"CCHCR1"	chrGL000252.1	-	2409535	2409695	2409593	2409695	2408168	2408320	82	0	0			133	75	NA	NA	NA		NA
83	"ENSG00000230985.5"	"VARSL"	chrGL000252.1	+	2176093	2176926	2176093	2176233	2177044	2177126	83	0	0			150	75	NA	NA	NA		NA
84	"ENSG00000230985.5"	"VARSL"	chrGL000252.1	+	2178764	2178871	2178764	2178846	2178991	2179111	84	0	0			100	75	NA	NA	NA		NA
85	"ENSG00000236843.4"	"NRM"	chrGL000252.1	-	1951463	1951682	1951485	1951682	1949485	1950381	85	0	0			97	75	NA	NA	NA		NA
86	"ENSG00000236843.4"	"NRM"	chrGL000252.1	-	1951463	1951682	1951485	1951682	1950714	1950891	86	0	0			97	75	NA	NA	NA		NA
87	"ENSG00000229061.4"	"ATAT1"	chrGL000252.1	+	1888300	1888689	1888300	1888407	1888874	1888935	87	0	0			150	75	NA	NA	NA		NA
88	"ENSG00000243009.1"	"RPP21"	chrGL000252.1	+	1606728	1607004	1606728	1606829	1607862	1607988	88	0	0			150	75	NA	NA	NA		NA
89	"ENSG00000243009.1"	"RPP21"	chrGL000252.1	+	1607862	1607995	1607862	1607988	1608143	1608288	89	0	0			82	75	NA	NA	NA		NA
90	"ENSG00000226060.3"	"TRIM26"	chrGL000252.1	-	1460132	1460620	1460357	1460620	1459895	1459991	90	0	0			150	75	NA	NA	NA		NA
91	"ENSG00000237112.4"	"GABBR1"	chrGL000252.1	-	901592	901778	901656	901778	900221	900242	91	0	0			139	75	NA	NA	NA		NA
92	"ENSG00000204221.7"	"WDR46"	chrGL000251.1	-	4700154	4700285	4700204	4700285	4699948	4700061	92	0	0			125	75	NA	NA	NA		NA
93	"ENSG00000243719.3"	"HLA-DMA"	chrGL000251.1	-	4361576	4361705	4361579	4361705	4360915	4361174	93	0	0			78	75	NA	NA	NA		NA
94	"ENSG00000224770.3"	"BTNL2"	chrGL000251.1	-	3834236	3834584	3834240	3834584	3832933	3833223	94	0	0			79	75	NA	NA	NA		NA
95	"ENSG00000234729.5"	"AGER"	chrGL000251.1	-	3621733	3621846	3621781	3621846	3621571	3621659	95	0	0			123	75	NA	NA	NA		NA
96	"ENSG00000226467.5"	"AGPAT1"	chrGL000251.1	-	3609707	3609963	3609754	3609963	3609394	3609528	96	0	0			122	75	NA	NA	NA		NA
97	"ENSG00000225737.5"	"SKIV2L"	chrGL000251.1	+	3446812	3446953	3446812	3446849	3447047	3447284	97	0	0			150	75	NA	NA	NA		NA
98	"ENSG00000231044.6"	"NELFE"	chrGL000251.1	-	3435840	3435987	3435904	3435987	3434473	3434543	98	0	0			139	75	NA	NA	NA		NA
99	"ENSG00000231479.4"	"SLC44A4"	chrGL000251.1	-	3353340	3353461	3353382	3353461	3352459	3352559	99	0	0			117	75	NA	NA	NA		NA
100	"ENSG00000226710.5"	"C6orf48"	chrGL000251.1	+	3312260	3312553	3312260	3312410	3312762	3312803	100	0	0			150	75	NA	NA	NA		NA
101	"ENSG00000235222.8"	"MSH5"	chrGL000251.1	+	3239180	3239318	3239180	3239228	3239474	3239548	101	0	0			150	75	NA	NA	NA		NA
102	"ENSG00000237808.2"	"NCR3"	chrGL000251.1	-	3067170	3067515	3067225	3067515	3066914	3067022	102	0	0			130	75	NA	NA	NA		NA
103	"ENSG00000234530.4"	"NFKBIL1"	chrGL000251.1	+	3035046	3035268	3035046	3035223	3035440	3036248	103	0	0			120	75	NA	NA	NA		NA
104	"ENSG00000234114.4"	"CCHCR1"	chrGL000251.1	-	2627165	2627325	2627223	2627325	2625798	2625950	104	0	0			133	75	NA	NA	NA		NA
105	"ENSG00000236178.5"	"VARSL"	chrGL000251.1	+	2394056	2394889	2394056	2394196	2395007	2395089	105	0	0			150	75	NA	NA	NA		NA
106	"ENSG00000236178.5"	"VARSL"	chrGL000251.1	+	2396721	2396828	2396721	2396803	2396948	2397068	106	0	0			100	75	NA	NA	NA		NA
107	"ENSG00000223752.4"	"ATAT1"	chrGL000251.1	+	2106715	2107104	2106715	2106822	2107289	2107350	107	0	0			150	75	NA	NA	NA		NA
108	"ENSG00000241863.1"	"RPP21"	chrGL000251.1	+	1825084	1825360	1825084	1825185	1826218	1826344	108	0	0			150	75	NA	NA	NA		NA
109	"ENSG00000241863.1"	"RPP21"	chrGL000251.1	+	1826218	1826351	1826218	1826344	1826499	1826644	109	0	0			82	75	NA	NA	NA		NA
110	"ENSG00000230230.3"	"TRIM26"	chrGL000251.1	-	1678543	1679031	1678768	1679031	1678306	1678402	110	0	0			150	75	NA	NA	NA		NA
111	"ENSG00000242361.3"	"HLA-DMA"	chrGL000250.1	-	4204036	4204165	4204039	4204165	4203375	4203634	111	0	0			78	75	NA	NA	NA		NA
112	"ENSG00000231268.5"	"AGER"	chrGL000250.1	-	3465793	3465906	3465841	3465906	3465631	3465719	112	0	0			123	75	NA	NA	NA		NA
113	"ENSG00000236873.5"	"AGPAT1"	chrGL000250.1	-	3453767	3454023	3453814	3454023	3453454	3453588	113	0	0			122	75	NA	NA	NA		NA
114	"ENSG00000236649.6"	"PPT2"	chrGL000250.1	+	3447095	3447198	3447095	3447174	3448655	3449138	114	0	0			99	75	NA	NA	NA		NA
115	"ENSG00000236649.6"	"PPT2"	chrGL000250.1	+	3448655	3448784	3448655	3448750	3449015	3449138	115	0	0			109	75	NA	NA	NA		NA
116	"ENSG00000235336.4"	"SLC44A4"	chrGL000250.1	-	3158340	3158461	3158382	3158461	3157459	3157559	116	0	0			117	75	NA	NA	NA		NA
117	"ENSG00000234728.5"	"C6orf48"	chrGL000250.1	+	3117438	3117731	3117438	3117588	3117940	3117981	117	0	0			150	75	NA	NA	NA		NA
118	"ENSG00000241779.1"	"RPP21"	chrGL000250.1	+	1624709	1624985	1624709	1624810	1625843	1625969	118	0	0			150	75	NA	NA	NA		NA
119	"ENSG00000241779.1"	"RPP21"	chrGL000250.1	+	1625843	1625976	1625843	1625969	1626124	1626269	119	0	0			82	75	NA	NA	NA		NA
120	"ENSG00000228881.3"	"TRIM26"	chrGL000250.1	-	1406642	1407130	1406867	1407130	1406405	1406501	120	0	0			150	75	NA	NA	NA		NA
121	"ENSG00000229215.4"	"HLA-A"	chrGL000250.1	+	1152163	1152298	1152163	1152280	1152722	1152755	121	0	0			93	75	NA	NA	NA		NA
122	"ENSG00000232569.4"	"GABBR1"	chrGL000250.1	-	901769	901955	901833	901955	900398	900419	122	0	0			139	75	NA	NA	NA		NA
123	"ENSG00000262261.1"	"GTF2H2D"	chrGL339449.2	-	997739	997920	997900	997920	992958	993047	123	0	0			150	75	NA	NA	NA		NA
124	"ENSG00000262667.1"	"OCLN"	chrGL339449.2	+	292037	292716	292037	292285	296847	297009	124	0	0			150	75	NA	NA	NA		NA
125	"ENSG00000263181.1"	"CYP2D7P1"	chrGL383582.2	-	51726	51868	51817	51868	51344	51532	125	0	0			150	75	NA	NA	NA		NA
126	"ENSG00000263290.1"	"SCAMP3"	chrGL383519.1	-	62307	62409	62320	62409	61696	61814	126	0	0			88	75	NA	NA	NA		NA
127	"ENSG00000263290.1"	"SCAMP3"	chrGL383519.1	-	63813	63915	63848	63915	62520	62680	127	0	0			110	75	NA	NA	NA		NA
128	"ENSG00000262244.3"	"RDH13"	chrGL949753.1	-	759264	759648	759546	759648	756502	757469	128	0	0			150	75	NA	NA	NA		NA
129	"ENSG00000262260.2"	"NLRP2"	chrGL949753.1	+	702181	702553	702181	702352	702661	702832	129	0	0			150	75	NA	NA	NA		NA
130	"ENSG00000262383.1"	"LILRA3"	chrGL949753.1	-	274155	274458	274347	274458	273622	273919	130	0	0			150	75	NA	NA	NA		NA
131	"ENSG00000273235.1"	"TSEN34"	chrGL949753.1	+	165231	165414	165231	165335	166324	166571	131	0	0			150	75	NA	NA	NA		NA
132	"ENSG00000263258.3"	"RDH13"	chrGL949752.1	-	949886	950270	950168	950270	947124	948091	132	0	0			150	75	NA	NA	NA		NA
133	"ENSG00000262797.1"	"GP6"	chrGL949752.1	-	918460	918515	918464	918515	916486	917947	133	0	0			79	75	NA	NA	NA		NA
134	"ENSG00000262827.3"	"FCAR"	chrGL949752.1	+	792371	792593	792371	792585	794013	794228	134	0	0			83	75	NA	NA	NA		NA
135	"ENSG00000262827.3"	"FCAR"	chrGL949752.1	+	792371	792659	792371	792585	794013	794228	135	0	0			149	75	NA	NA	NA		NA
136	"ENSG00000262827.3"	"FCAR"	chrGL949752.1	+	792371	792659	792371	792593	794013	794228	136	0	0			141	75	NA	NA	NA		NA
137	"ENSG00000272946.1"	"TMC4"	chrGL949751.1	-	138497	138732	138568	138732	137878	138005	137	0	0			146	75	NA	NA	NA		NA
138	"ENSG00000273427.1"	"NDUFA3"	chrGL949751.1	+	77289	77319	77289	77309	77534	77609	138	0	0			85	75	NA	NA	NA		NA
139	"ENSG00000272621.1"	"TMC4"	chrGL949750.1	-	138497	138732	138568	138732	137878	138005	139	0	0			146	75	NA	NA	NA		NA
140	"ENSG00000273095.1"	"NDUFA3"	chrGL949750.1	+	77289	77319	77289	77309	77534	77609	140	0	0			85	75	NA	NA	NA		NA
141	"ENSG00000262175.2"	"NLRP2"	chrGL949749.1	+	997543	997915	997543	997714	998023	998194	141	0	0			150	75	NA	NA	NA		NA
142	"ENSG00000272723.1"	"TMC4"	chrGL949749.1	-	138497	138732	138568	138732	137878	138005	142	0	0			146	75	NA	NA	NA		NA
143	"ENSG00000262348.3"	"RDH13"	chrGL949748.1	-	1027089	1027473	1027371	1027473	1024327	1025294	143	0	0			150	75	NA	NA	NA		NA
144	"ENSG00000261961.1"	"GP6"	chrGL949748.1	-	995663	995718	995667	995718	993689	995150	144	0	0			79	75	NA	NA	NA		NA
145	"ENSG00000262329.2"	"NLRP2"	chrGL949748.1	+	970006	970378	970006	970177	970486	970657	145	0	0			150	75	NA	NA	NA		NA
146	"ENSG00000272739.1"	"TSEN34"	chrGL949748.1	+	165231	165414	165231	165335	166324	166571	146	0	0			150	75	NA	NA	NA		NA
147	"ENSG00000262806.3"	"FCAR"	chrGL949747.1	+	533234	533456	533234	533448	534876	535091	147	0	0			83	75	NA	NA	NA		NA
148	"ENSG00000262806.3"	"FCAR"	chrGL949747.1	+	533234	533522	533234	533448	534876	535091	148	0	0			149	75	NA	NA	NA		NA
149	"ENSG00000262806.3"	"FCAR"	chrGL949747.1	+	533234	533522	533234	533456	534876	535091	149	0	0			141	75	NA	NA	NA		NA
150	"ENSG00000261937.1"	"LILRA3"	chrGL949747.1	-	273780	274083	273972	274083	273247	273544	150	0	0			150	75	NA	NA	NA		NA
151	"ENSG00000273053.1"	"TSEN34"	chrGL949747.1	+	165231	165414	165231	165335	166324	166571	151	0	0			150	75	NA	NA	NA		NA
152	"ENSG00000272757.1"	"TMC4"	chrGL949747.1	-	138497	138732	138568	138732	137878	138005	152	0	0			146	75	NA	NA	NA		NA
153	"ENSG00000261975.3"	"RDH13"	chrGL949746.1	-	950502	950886	950784	950886	947740	948707	153	0	0			150	75	NA	NA	NA		NA
154	"ENSG00000262886.2"	"NLRP2"	chrGL949746.1	+	893419	893791	893419	893590	893899	894070	154	0	0			150	75	NA	NA	NA		NA
155	"ENSG00000263109.2"	"TTYH1"	chrGL949746.1	+	325645	325824	325645	325820	327794	327906	155	0	0			79	75	NA	NA	NA		NA
156	"ENSG00000262642.3"	"LILRA6"	chrGL949746.1	-	216346	216649	216432	216649	215601	215898	156	0	0			150	75	NA	NA	NA		NA
157	"ENSG00000262716.1"	"TSEN34"	chrGL949746.1	+	165064	165247	165064	165168	166157	166404	157	0	0			150	75	NA	NA	NA		NA
158	"ENSG00000261972.1"	"CES5A"	chrGL383556.1	-	93395	93661	93527	93661	89858	90012	158	0	0			150	75	NA	NA	NA		NA
159	"ENSG00000261972.1"	"CES5A"	chrGL383556.1	-	95541	95680	95631	95680	93527	93661	159	0	0			150	75	NA	NA	NA		NA
160	"ENSG00000261972.1"	"CES5A"	chrGL383556.1	-	97739	97954	97749	97954	95541	95680	160	0	0			85	75	NA	NA	NA		NA
161	"ENSG00000261967.1"	"GOLGA8F"	chrGL383554.1	+	73573	73654	73573	73642	75013	75089	161	0	0			87	75	NA	NA	NA		NA
162	"ENSG00000272687.1"	"TKT"	chrKE332495.1	-	80304	80505	80311	80505	79411	79576	162	0	0			82	75	NA	NA	NA		NA
163	"ENSG00000267721.2"	"TMEM199"	chrJH159145.1	+	42393	42441	42393	42436	42599	42712	163	0	0			80	75	NA	NA	NA		NA
164	"ENSG00000262739.1"	"PRSS2"	chrGL582971.1	+	976309	976563	976309	976560	976962	977099	164	0	0			78	75	NA	NA	NA		NA
165	"ENSG00000261768.1"	"SLC2A6"	chrGL339450.1	-	299508	300182	300073	300182	299198	299344	165	0	0			150	75	NA	NA	NA		NA
166	"ENSG00000260099.1"	"ADAMTS13"	chrGL339450.1	+	281378	281697	281378	281529	282162	282309	166	0	0			150	75	NA	NA	NA		NA
167	"ENSG00000261493.1"	"REXO4"	chrGL339450.1	-	233900	233975	233914	233975	232155	233166	167	0	0			89	75	NA	NA	NA		NA
168	"ENSG00000260501.1"	"RPL7A"	chrGL339450.1	+	174311	174667	174311	174340	175015	175136	168	0	0			150	75	NA	NA	NA		NA
169	"ENSG00000260501.1"	"RPL7A"	chrGL339450.1	+	174345	174911	174345	174482	175015	175136	169	0	0			150	75	NA	NA	NA		NA
170	"ENSG00000261579.1"	"MED22"	chrGL339450.1	-	174015	174211	174035	174211	172633	172794	170	0	0			95	75	NA	NA	NA		NA
171	"ENSG00000261964.4"	"ADAMTS10"	chrJH159149.1	-	25731	25873	25742	25873	22732	22840	171	0	0			86	75	NA	NA	NA		NA
172	"ENSG00000269671.1"	"RABL2B"	chrJH806586.1	-	4499	4624	4529	4624	4115	4199	172	0	0			105	75	NA	NA	NA		NA
173	"ENSG00000269671.1"	"RABL2B"	chrJH806586.1	-	18113	18361	18119	18361	17262	17426	173	0	0			81	75	NA	NA	NA		NA
174	"ENSG00000273140.1"	"CCT6P1"	chrKE332499.1	+	211066	211148	211066	211100	212005	212102	174	0	0			123	75	NA	NA	NA		NA
