# `gene_id` is the hg19 Ensembl gene identifier.
# `gene_symbol` is the gene symbol.
# `seqname` is the gene's chromosome or scaffold name.
# `afe_annotation_status` indicates whether the line's AFE overlaps an annotated FE.
# `*_start` and `*_end` fields define the feature's 0-based, half-open interval.
# `strand` is the occupied strand; i.e., "+" or "-" for forward or reverse.
gene_id	gene_symbol	seqname	gene_start	gene_end	strand	afe_start	afe_end	afe_annotation_status	se_start	se_end
ENSG00000204859.7	ZBTB48	1	6640060	6649340	+	6645361	6647351	annotated	6647574	6647692
ENSG00000204859.7	ZBTB48	1	6640060	6649340	+	6645361	6647351	annotated	6648815	6648904
ENSG00000049245.8	VAMP3	1	7831328	7841492	+	7831328	7831445	annotated	7833501	7833571
ENSG00000049245.8	VAMP3	1	7831328	7841492	+	7832766	7833258	annotated	7833501	7833571
ENSG00000116285.8	ERRFI1	1	8064463	8086368	-	8075554	8075752	annotated	8075367	8075444
ENSG00000116285.8	ERRFI1	1	8064463	8086368	-	8075554	8075752	annotated	8075367	8075460
ENSG00000116670.10	MAD2L2	1	11734536	11751707	-	11740409	11741495	annotated	11737599	11737671
ENSG00000177674.11	AGTRAP	1	11796140	11814859	+	11807496	11807602	annotated	11808471	11808646
ENSG00000177674.11	AGTRAP	1	11796140	11814859	+	11807496	11807602	annotated	11808471	11808667
ENSG00000116688.12	MFN2	1	12040237	12073571	+	12040237	12040541	annotated	12042026	12042171
ENSG00000142627.9	EPHA2	1	16450831	16482582	-	16460354	16460410	unannotated	16458215	16458365
ENSG00000270136.1	MINOS1-NBL1	1	19923472	19984549	+	19923472	19923603	annotated	19927280	19927465
ENSG00000270136.1	MINOS1-NBL1	1	19923472	19984549	+	19981504	19981693	unannotated	19981816	19981928
ENSG00000188257.6	PLA2G2A	1	20301924	20306932	-	20306072	20306183	annotated	20304507	20304614
ENSG00000188257.6	PLA2G2A	1	20301924	20306932	-	20306072	20306183	annotated	20304872	20305017
ENSG00000188257.6	PLA2G2A	1	20301924	20306932	-	20306854	20306932	annotated	20304507	20304614
ENSG00000188257.6	PLA2G2A	1	20301924	20306932	-	20306854	20306932	annotated	20304872	20305017
ENSG00000188257.6	PLA2G2A	1	20301924	20306932	-	20306854	20306932	annotated	20306072	20306152
ENSG00000188257.6	PLA2G2A	1	20301924	20306932	-	20306854	20306932	annotated	20306072	20306183
ENSG00000158828.5	PINK1	1	20959947	20978004	+	20959947	20960428	annotated	20964334	20964622
ENSG00000070831.11	CDC42	1	22379119	22419437	+	22404921	22405076	unannotated	22408214	22408287
ENSG00000142676.8	RPL11	1	24018268	24022915	+	24018268	24018319	annotated	24020296	24020403
ENSG00000142676.8	RPL11	1	24018268	24022915	+	24018268	24018319	annotated	24021149	24021281
ENSG00000142676.8	RPL11	1	24018268	24022915	+	24018324	24018550	annotated	24020296	24020403
ENSG00000142676.8	RPL11	1	24018268	24022915	+	24018324	24018550	annotated	24021149	24021281
ENSG00000142676.8	RPL11	1	24018268	24022915	+	24018795	24019249	annotated	24020296	24020403
ENSG00000142676.8	RPL11	1	24018268	24022915	+	24018795	24019249	annotated	24021149	24021281
ENSG00000011009.6	LYPLA2	1	24117459	24122029	+	24117459	24117740	annotated	24119497	24119529
ENSG00000011009.6	LYPLA2	1	24117459	24122029	+	24117459	24117740	annotated	24120349	24120420
ENSG00000011009.6	LYPLA2	1	24117459	24122029	+	24117459	24117740	annotated	24120552	24120626
ENSG00000011009.6	LYPLA2	1	24117459	24122029	+	24117459	24117740	annotated	24120916	24121090
ENSG00000011009.6	LYPLA2	1	24117459	24122029	+	24117459	24117740	annotated	24121041	24121090
ENSG00000011009.6	LYPLA2	1	24117459	24122029	+	24120349	24120420	unannotated	24120552	24120626
ENSG00000011009.6	LYPLA2	1	24117459	24122029	+	24120349	24120420	unannotated	24120916	24121090
ENSG00000011009.6	LYPLA2	1	24117459	24122029	+	24120349	24120420	unannotated	24121041	24121090
ENSG00000117614.5	SYF2	1	25549169	25558993	-	25556799	25558923	annotated	25555488	25555614
ENSG00000117614.5	SYF2	1	25549169	25558993	-	25558934	25558993	annotated	25555488	25555614
ENSG00000117616.13	C1orf63	1	25568727	25664704	-	25573799	25574010	annotated	25570040	25570124
ENSG00000117616.13	C1orf63	1	25568727	25664704	-	25573799	25574010	annotated	25570040	25570715
ENSG00000183726.6	TMEM50A	1	25664407	25688852	+	25664407	25664947	annotated	25666964	25667070
ENSG00000183726.6	TMEM50A	1	25664407	25688852	+	25664950	25665308	annotated	25666964	25667070
ENSG00000183726.6	TMEM50A	1	25664407	25688852	+	25664950	25665308	annotated	25669451	25669564
ENSG00000117640.13	MTFR1L	1	26145130	26159432	+	26146396	26146520	annotated	26149486	26149619
ENSG00000117640.13	MTFR1L	1	26145130	26159432	+	26146396	26146520	annotated	26149509	26149619
ENSG00000117640.13	MTFR1L	1	26145130	26159432	+	26147252	26147494	annotated	26149486	26149619
ENSG00000117640.13	MTFR1L	1	26145130	26159432	+	26147252	26147494	annotated	26149509	26149619
ENSG00000117640.13	MTFR1L	1	26145130	26159432	+	26148013	26150239	annotated	26152792	26152902
ENSG00000176092.9	AIM1L	1	26648349	26680621	-	26663637	26663737	annotated	26662585	26662698
ENSG00000176092.9	AIM1L	1	26648349	26680621	-	26670235	26671014	annotated	26669537	26669650
ENSG00000142765.13	SYTL1	1	27668512	27680421	+	27675570	27675643	unannotated	27676142	27676256
ENSG00000142765.13	SYTL1	1	27668512	27680421	+	27675570	27675643	unannotated	27677284	27677443
ENSG00000142765.13	SYTL1	1	27668512	27680421	+	27675570	27675643	unannotated	27677748	27677827
ENSG00000142765.13	SYTL1	1	27668512	27680421	+	27675570	27675643	unannotated	27679773	27679979
ENSG00000000938.8	FGR	1	27938574	27961788	-	27949552	27949655	unannotated	27948069	27948168
ENSG00000000938.8	FGR	1	27938574	27961788	-	27949552	27949655	unannotated	27948163	27948168
ENSG00000162517.8	PEF1	1	32095462	32110497	-	32100822	32101123	annotated	32098095	32098239
ENSG00000162517.8	PEF1	1	32095462	32110497	-	32100822	32101123	annotated	32098759	32098915
ENSG00000121900.14	TMEM54	1	33360194	33367039	-	33363726	33363920	unannotated	33361510	33361570
ENSG00000134686.12	PHC2	1	33789223	33896653	-	33800766	33800857	annotated	33799690	33799893
ENSG00000134686.12	PHC2	1	33789223	33896653	-	33800766	33800857	annotated	33799785	33799891
ENSG00000134686.12	PHC2	1	33789223	33896653	-	33800766	33800857	annotated	33799785	33799893
ENSG00000116560.6	SFPQ	1	35641978	35658749	-	35643589	35646246	annotated	35642919	35643000
ENSG00000116560.6	SFPQ	1	35641978	35658749	-	35646735	35647207	annotated	35642919	35643000
ENSG00000116560.6	SFPQ	1	35641978	35658749	-	35646735	35647207	annotated	35643589	35643637
ENSG00000020129.11	NCDN	1	36023073	36032875	+	36023073	36024085	annotated	36027992	36028234
ENSG00000020129.11	NCDN	1	36023073	36032875	+	36024106	36024286	annotated	36027992	36028234
ENSG00000020129.11	NCDN	1	36023073	36032875	+	36024106	36024286	annotated	36028802	36029027
ENSG00000116871.11	MAP7D1	1	36621179	36646450	+	36642297	36642443	annotated	36644862	36644916
ENSG00000054118.9	THRAP3	1	36690016	36770958	+	36754660	36755365	annotated	36759451	36759536
ENSG00000214193.5	SH3D21	1	36771987	36790484	+	36785042	36785137	unannotated	36786656	36786810
ENSG00000142694.6	EVA1B	1	36787631	36789755	-	36789059	36789216	annotated	36788571	36788668
ENSG00000142694.6	EVA1B	1	36787631	36789755	-	36789493	36789755	annotated	36788571	36788668
ENSG00000119535.13	CSF3R	1	36931643	36948879	-	36940977	36941928	annotated	36937666	36937740
ENSG00000174574.11	AKIRIN1	1	39456894	39471731	+	39463842	39463983	unannotated	39466643	39466778
ENSG00000131238.12	PPT1	1	40538378	40563375	-	40558069	40558179	unannotated	40557716	40557844
ENSG00000117395.6	EBNA1BP2	1	43629845	43736607	-	43637723	43638241	annotated	43634609	43634699
ENSG00000117395.6	EBNA1BP2	1	43629845	43736607	-	43637723	43638241	annotated	43637556	43637640
ENSG00000066322.8	ELOVL1	1	43829067	43833696	-	43831938	43832258	annotated	43829994	43830131
ENSG00000066322.8	ELOVL1	1	43829067	43833696	-	43831938	43832258	annotated	43830212	43830318
ENSG00000066322.8	ELOVL1	1	43829067	43833696	-	43831938	43832258	annotated	43830285	43830318
ENSG00000066322.8	ELOVL1	1	43829067	43833696	-	43831938	43832258	annotated	43830289	43830318
ENSG00000066322.8	ELOVL1	1	43829067	43833696	-	43831938	43832258	annotated	43830598	43830679
ENSG00000066322.8	ELOVL1	1	43829067	43833696	-	43831938	43832258	annotated	43830598	43830768
ENSG00000066322.8	ELOVL1	1	43829067	43833696	-	43831938	43832258	annotated	43830856	43831047
ENSG00000066322.8	ELOVL1	1	43829067	43833696	-	43833585	43833696	annotated	43829994	43830131
ENSG00000066322.8	ELOVL1	1	43829067	43833696	-	43833585	43833696	annotated	43830212	43830318
ENSG00000066322.8	ELOVL1	1	43829067	43833696	-	43833585	43833696	annotated	43830285	43830318
ENSG00000066322.8	ELOVL1	1	43829067	43833696	-	43833585	43833696	annotated	43830289	43830318
ENSG00000066322.8	ELOVL1	1	43829067	43833696	-	43833585	43833696	annotated	43830598	43830679
ENSG00000066322.8	ELOVL1	1	43829067	43833696	-	43833585	43833696	annotated	43830598	43830768
ENSG00000066322.8	ELOVL1	1	43829067	43833696	-	43833585	43833696	annotated	43830856	43831047
ENSG00000159479.12	MED8	1	43849587	43855479	-	43853980	43854160	unannotated	43851648	43851897
ENSG00000159479.12	MED8	1	43849587	43855479	-	43853980	43854160	unannotated	43852259	43852341
ENSG00000159479.12	MED8	1	43849587	43855479	-	43853980	43854160	unannotated	43852528	43852669
ENSG00000159479.12	MED8	1	43849587	43855479	-	43855429	43855479	annotated	43851648	43851897
ENSG00000159479.12	MED8	1	43849587	43855479	-	43855429	43855479	annotated	43852259	43852341
ENSG00000159479.12	MED8	1	43849587	43855479	-	43855429	43855479	annotated	43852528	43852669
ENSG00000159479.12	MED8	1	43849587	43855479	-	43855429	43855479	annotated	43853980	43854099
ENSG00000178028.9	DMAP1	1	44679126	44686353	+	44679126	44679530	annotated	44680021	44680113
ENSG00000187147.13	RNF220	1	44870865	45117396	+	45097403	45097884	annotated	45101216	45101260
ENSG00000187147.13	RNF220	1	44870865	45117396	+	45097403	45097884	annotated	45101216	45101338
ENSG00000187147.13	RNF220	1	44870865	45117396	+	45097403	45097884	annotated	45101701	45101834
ENSG00000187147.13	RNF220	1	44870865	45117396	+	45097906	45098057	annotated	45101216	45101260
ENSG00000187147.13	RNF220	1	44870865	45117396	+	45097906	45098057	annotated	45101216	45101338
ENSG00000187147.13	RNF220	1	44870865	45117396	+	45097906	45098057	annotated	45101701	45101834
ENSG00000187147.13	RNF220	1	44870865	45117396	+	45101216	45101338	unannotated	45101701	45101834
ENSG00000187147.13	RNF220	1	44870865	45117396	+	45110892	45110948	unannotated	45115554	45115629
ENSG00000126088.8	UROD	1	45477818	45481247	+	45477818	45477957	annotated	45478807	45478887
ENSG00000126088.8	UROD	1	45477818	45481247	+	45477818	45477957	annotated	45478963	45479026
ENSG00000126088.8	UROD	1	45477818	45481247	+	45477818	45477957	annotated	45479580	45479742
ENSG00000126088.8	UROD	1	45477818	45481247	+	45477818	45477957	annotated	45480110	45480248
ENSG00000126088.8	UROD	1	45477818	45481247	+	45477818	45477957	annotated	45480611	45480678
ENSG00000126088.8	UROD	1	45477818	45481247	+	45478362	45478691	annotated	45478807	45478887
ENSG00000126088.8	UROD	1	45477818	45481247	+	45478362	45478691	annotated	45478963	45479026
ENSG00000126088.8	UROD	1	45477818	45481247	+	45478362	45478691	annotated	45479580	45479742
ENSG00000126088.8	UROD	1	45477818	45481247	+	45478362	45478691	annotated	45480110	45480248
ENSG00000126088.8	UROD	1	45477818	45481247	+	45478362	45478691	annotated	45480611	45480678
ENSG00000117450.9	PRDX1	1	45976707	45988719	-	45987280	45987628	annotated	45984609	45984726
ENSG00000117450.9	PRDX1	1	45976707	45988719	-	45988449	45988719	annotated	45984609	45984726
ENSG00000117448.9	AKR1A1	1	46016214	46035721	+	46034156	46034678	annotated	46034814	46034901
ENSG00000132780.12	NASP	1	46049517	46084566	+	46074971	46078920	annotated	46079767	46079853
ENSG00000085998.9	POMGNT1	1	46654353	46685977	-	46663373	46663774	annotated	46659235	46659311
ENSG00000085998.9	POMGNT1	1	46654353	46685977	-	46663373	46663774	annotated	46660224	46660323
ENSG00000085998.9	POMGNT1	1	46654353	46685977	-	46663373	46663774	annotated	46660515	46660633
ENSG00000085998.9	POMGNT1	1	46654353	46685977	-	46663373	46663774	annotated	46662402	46662521
ENSG00000085998.9	POMGNT1	1	46654353	46685977	-	46663373	46663774	annotated	46662450	46662521
ENSG00000085998.9	POMGNT1	1	46654353	46685977	-	46663958	46664115	annotated	46659235	46659311
ENSG00000085998.9	POMGNT1	1	46654353	46685977	-	46663958	46664115	annotated	46660224	46660323
ENSG00000085998.9	POMGNT1	1	46654353	46685977	-	46663958	46664115	annotated	46660515	46660633
ENSG00000085998.9	POMGNT1	1	46654353	46685977	-	46663958	46664115	annotated	46662402	46662521
ENSG00000085998.9	POMGNT1	1	46654353	46685977	-	46663958	46664115	annotated	46662450	46662521
ENSG00000132128.12	LRRC41	1	46726867	46769280	-	46746067	46746232	unannotated	46745163	46745286
ENSG00000173660.7	UQCRH	1	46769302	46782448	+	46774772	46775345	unannotated	46775568	46775716
ENSG00000173660.7	UQCRH	1	46769302	46782448	+	46774772	46775345	unannotated	46775826	46775988
ENSG00000117480.11	FAAH	1	46859936	46879520	+	46876485	46876526	unannotated	46877283	46877323
ENSG00000123080.6	CDKN2C	1	51426416	51440305	+	51433607	51435571	annotated	51436029	51436169
ENSG00000078618.15	NRD1	1	52254862	52344477	-	52302040	52302110	unannotated	52301802	52301884
ENSG00000117054.9	ACADM	1	76190035	76253260	+	76211161	76211599	annotated	76215103	76215244
ENSG00000137955.11	RABGGTB	1	76251878	76260764	+	76251878	76251959	annotated	76254843	76255041
ENSG00000137955.11	RABGGTB	1	76251878	76260764	+	76251878	76251959	annotated	76254843	76256202
ENSG00000137955.11	RABGGTB	1	76251878	76260764	+	76251878	76251959	annotated	76255636	76255742
ENSG00000137955.11	RABGGTB	1	76251878	76260764	+	76252383	76256202	annotated	76256969	76257022
ENSG00000162613.12	FUBP1	1	78409739	78444794	-	78412166	78414018	annotated	78411190	78411327
ENSG00000117174.6	ZNHIT6	1	86115105	86174116	-	86173311	86174116	annotated	86172124	86172190
ENSG00000137947.7	GTF2B	1	89318614	89357627	-	89357165	89357627	annotated	89352943	89353050
ENSG00000137947.7	GTF2B	1	89318614	89357627	-	89357165	89357627	annotated	89352958	89353050
ENSG00000122406.8	RPL5	1	93297581	93307481	+	93297581	93297808	annotated	93298945	93299015
ENSG00000122406.8	RPL5	1	93297581	93307481	+	93297581	93297808	annotated	93300335	93300470
ENSG00000122406.8	RPL5	1	93297581	93307481	+	93297581	93297808	annotated	93301746	93301949
ENSG00000067334.9	DNTTIP2	1	94333372	94345474	-	94341823	94343439	unannotated	94341200	94341339
ENSG00000067334.9	DNTTIP2	1	94333372	94345474	-	94344103	94345474	annotated	94341200	94341339
ENSG00000185946.11	RNPC3	1	104068312	104097861	+	104068312	104068884	annotated	104070316	104070364
ENSG00000116337.11	AMPD2	1	110158725	110174673	+	110169347	110170140	annotated	110173304	110173415
ENSG00000168765.11	GSTM4	1	110198702	110208118	+	110198702	110199047	annotated	110199333	110199409
ENSG00000168765.11	GSTM4	1	110198702	110208118	+	110198702	110199047	annotated	110200393	110200494
ENSG00000168765.11	GSTM4	1	110198702	110208118	+	110198702	110199047	annotated	110201621	110201732
ENSG00000168765.11	GSTM4	1	110198702	110208118	+	110199333	110200293	annotated	110200393	110200494
ENSG00000168765.11	GSTM4	1	110198702	110208118	+	110199333	110200293	annotated	110201621	110201732
ENSG00000213366.8	GSTM2	1	110210643	110252171	+	110210643	110210773	annotated	110211046	110211122
ENSG00000213366.8	GSTM2	1	110210643	110252171	+	110210643	110210773	annotated	110211546	110211611
ENSG00000213366.8	GSTM2	1	110210643	110252171	+	110210643	110210773	annotated	110212092	110212193
ENSG00000213366.8	GSTM2	1	110210643	110252171	+	110210643	110210773	annotated	110212796	110212856
ENSG00000213366.8	GSTM2	1	110210643	110252171	+	110210643	110210773	annotated	110214094	110214205
ENSG00000213366.8	GSTM2	1	110210643	110252171	+	110212796	110212856	unannotated	110214094	110214205
ENSG00000184371.9	CSF1	1	110452863	110473614	+	110453127	110453684	annotated	110456880	110457003
ENSG00000162777.12	DENND2D	1	111729795	111747157	-	111731833	111731950	annotated	111731323	111731408
ENSG00000162777.12	DENND2D	1	111729795	111747157	-	111743014	111743311	annotated	111739797	111739875
ENSG00000116489.8	CAPZA1	1	113161794	113214241	+	113197086	113197293	unannotated	113201643	113201723
ENSG00000178104.15	PDE4DIP	1	144836156	145076186	-	144855739	144855883	unannotated	144854517	144854656
ENSG00000131788.11	PIAS3	1	145575232	145586546	+	145575232	145575404	annotated	145578400	145578479
ENSG00000131788.11	PIAS3	1	145575232	145586546	+	145575232	145575404	annotated	145579241	145579332
ENSG00000131788.11	PIAS3	1	145575232	145586546	+	145575988	145576102	annotated	145578400	145578479
ENSG00000131788.11	PIAS3	1	145575232	145586546	+	145575988	145576102	annotated	145579241	145579332
ENSG00000014914.15	MTMR11	1	149900542	149908791	-	149908046	149908266	annotated	149903151	149903318
ENSG00000014914.15	MTMR11	1	149900542	149908791	-	149908046	149908266	annotated	149905298	149905423
ENSG00000014914.15	MTMR11	1	149900542	149908791	-	149908046	149908266	annotated	149905502	149905591
ENSG00000014914.15	MTMR11	1	149900542	149908791	-	149908046	149908266	annotated	149905502	149905835
ENSG00000014914.15	MTMR11	1	149900542	149908791	-	149908046	149908266	annotated	149905747	149905835
ENSG00000014914.15	MTMR11	1	149900542	149908791	-	149908046	149908266	annotated	149906878	149907021
ENSG00000014914.15	MTMR11	1	149900542	149908791	-	149908046	149908266	annotated	149907476	149907598
ENSG00000014914.15	MTMR11	1	149900542	149908791	-	149908474	149908791	annotated	149905298	149905423
ENSG00000014914.15	MTMR11	1	149900542	149908791	-	149908474	149908791	annotated	149905502	149905591
ENSG00000014914.15	MTMR11	1	149900542	149908791	-	149908474	149908791	annotated	149905502	149905835
ENSG00000014914.15	MTMR11	1	149900542	149908791	-	149908474	149908791	annotated	149905747	149905835
ENSG00000014914.15	MTMR11	1	149900542	149908791	-	149908474	149908791	annotated	149906878	149907021
ENSG00000014914.15	MTMR11	1	149900542	149908791	-	149908474	149908791	annotated	149907476	149907598
ENSG00000014914.15	MTMR11	1	149900542	149908791	-	149908474	149908791	annotated	149908046	149908122
ENSG00000187145.10	MRPS21	1	150266288	150281414	+	150266288	150266318	annotated	150266754	150266869
ENSG00000143369.10	ECM1	1	150480537	150486265	+	150480537	150480755	annotated	150482136	150482478
ENSG00000143369.10	ECM1	1	150480537	150486265	+	150480537	150480755	annotated	150483932	150484307
ENSG00000143369.10	ECM1	1	150480537	150486265	+	150480537	150480755	annotated	150485200	150485288
ENSG00000143369.10	ECM1	1	150480537	150486265	+	150482136	150484307	unannotated	150485200	150485288
ENSG00000143379.8	SETDB1	1	150898738	150937213	+	150916395	150916469	unannotated	150919361	150919488
ENSG00000143379.8	SETDB1	1	150898738	150937213	+	150933792	150934634	annotated	150935449	150935615
ENSG00000197622.8	CDC42SE1	1	151023446	151042801	-	151029126	151029262	unannotated	151027491	151027602
ENSG00000197622.8	CDC42SE1	1	151023446	151042801	-	151029126	151029262	unannotated	151028152	151028469
ENSG00000197622.8	CDC42SE1	1	151023446	151042801	-	151031954	151032249	annotated	151027491	151027602
ENSG00000197622.8	CDC42SE1	1	151023446	151042801	-	151031954	151032249	annotated	151028152	151028469
ENSG00000163156.7	SCNM1	1	151129139	151142773	+	151138497	151138728	annotated	151138946	151139017
ENSG00000163156.7	SCNM1	1	151129139	151142773	+	151138497	151138728	annotated	151140619	151140814
ENSG00000163159.7	VPS72	1	151142462	151167797	-	151162480	151162689	annotated	151157981	151158096
ENSG00000189334.4	S100A14	1	153586730	153589462	-	153588304	153588414	annotated	153587710	153587857
ENSG00000189334.4	S100A14	1	153586730	153589462	-	153588708	153588765	annotated	153587710	153587857
ENSG00000189334.4	S100A14	1	153586730	153589462	-	153588770	153588831	annotated	153587710	153587857
ENSG00000189334.4	S100A14	1	153586730	153589462	-	153589328	153589462	annotated	153587710	153587857
ENSG00000189334.4	S100A14	1	153586730	153589462	-	153589328	153589462	annotated	153588770	153588831
ENSG00000189171.9	S100A13	1	153591262	153606568	-	153603486	153603836	annotated	153599958	153600074
ENSG00000189171.9	S100A13	1	153591262	153606568	-	153603486	153603836	annotated	153600596	153600713
ENSG00000143570.13	SLC39A1	1	153931574	153940188	-	153935004	153935951	annotated	153934695	153934826
ENSG00000143570.13	SLC39A1	1	153931574	153940188	-	153935970	153936048	annotated	153934695	153934826
ENSG00000143578.11	CREB3L4	1	153940009	153946839	+	153940009	153940660	annotated	153940997	153941115
ENSG00000143578.11	CREB3L4	1	153940009	153946839	+	153940009	153940660	annotated	153940997	153941175
ENSG00000143578.11	CREB3L4	1	153940009	153946839	+	153940009	153940660	annotated	153941405	153941652
ENSG00000143578.11	CREB3L4	1	153940009	153946839	+	153940009	153940660	annotated	153941405	153941931
ENSG00000143578.11	CREB3L4	1	153940009	153946839	+	153940712	153940837	annotated	153940997	153941115
ENSG00000143578.11	CREB3L4	1	153940009	153946839	+	153940712	153940837	annotated	153940997	153941175
ENSG00000143578.11	CREB3L4	1	153940009	153946839	+	153940712	153940837	annotated	153941405	153941652
ENSG00000143578.11	CREB3L4	1	153940009	153946839	+	153940712	153940837	annotated	153941405	153941931
ENSG00000143569.14	UBAP2L	1	154192654	154243986	+	154197557	154197689	annotated	154201090	154201201
ENSG00000143569.14	UBAP2L	1	154192654	154243986	+	154231106	154231506	annotated	154233367	154233585
ENSG00000163346.12	PBXIP1	1	154916551	154928599	-	154928544	154928599	annotated	154923707	154923732
ENSG00000163346.12	PBXIP1	1	154916551	154928599	-	154928544	154928599	annotated	154924270	154924395
ENSG00000163346.12	PBXIP1	1	154916551	154928599	-	154928544	154928599	annotated	154924270	154924397
