ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
5234	"ENSG00000143303.7"	"RRNAD1"	chr1	+	156701782	156702265	156701782	156701907	156702157	156702265
5345	"ENSG00000141141.10"	"DDX52"	chr17	-	35979812	35981322	35979812	35979884	35981171	35981322
5425	"ENSG00000149636.11"	"DSN1"	chr20	-	35399275	35399876	35399275	35399427	35399827	35399876
5478	"ENSG00000135924.11"	"DNAJB2"	chr2	+	220147558	220148211	220147558	220147651	220148140	220148211
5481	"ENSG00000163516.9"	"ANKZF1"	chr2	+	220098854	220100597	220098854	220100034	220100429	220100597
5487	"ENSG00000127837.5"	"AAMP"	chr2	-	219130301	219131310	219130301	219130405	219131165	219131310
5534	"ENSG00000234741.3"	"GAS5"	chr1	-	173833394	173834420	173833394	173833442	173834366	173834420
5562	"ENSG00000168090.5"	"COPS6"	chr7	+	99688214	99688775	99688214	99688277	99688660	99688775
5647	"ENSG00000143575.10"	"HAX1"	chr1	+	154245811	154246437	154245811	154246010	154246225	154246437
5729	"ENSG00000115446.7"	"UNC50"	chr2	+	99225041	99226502	99225041	99225189	99226105	99226502
5737	"ENSG00000112739.12"	"PRPF4B"	chr6	+	4060646	4062533	4060646	4060920	4061888	4062533
5825	"ENSG00000132781.13"	"MUTYH"	chr1	-	45798434	45798842	45798434	45798506	45798768	45798842
5838	"ENSG00000131697.13"	"NPHP4"	chr1	-	5924397	5926518	5924397	5924577	5926432	5926518
5890	"ENSG00000176444.14"	"CLK2"	chr1	-	155233740	155234341	155233740	155233831	155234258	155234341
5976	"ENSG00000140474.8"	"ULK3"	chr15	-	75134620	75135017	75134620	75134758	75134879	75135017
5995	"ENSG00000114388.8"	"NPRL2"	chr3	-	50387095	50387453	50387095	50387259	50387343	50387453
6034	"ENSG00000165525.13"	"NEMF"	chr14	-	50251642	50252038	50251642	50251722	50251937	50252038
6088	"ENSG00000148362.6"	"C9orf142"	chr9	+	139887091	139887695	139887091	139887152	139887504	139887695
6309	"ENSG00000131788.11"	"PIAS3"	chr1	+	145578061	145578721	145578061	145578295	145578636	145578721
6508	"ENSG00000140279.8"	"DUOX2"	chr15	-	45403308	45404153	45403308	45403475	45403965	45404153
6589	"ENSG00000085998.9"	"POMGNT1"	chr1	-	46658976	46659597	46658976	46659060	46659526	46659597
