gene-id	gene-name	first-exon	skipped-exon	kb-distance	strand
ENSG00000162585.16	FAAP20	chr1:2194688-2194775	chr1:2193997-2194133	0.642	-
ENSG00000116151.13	MORN1	chr1:2391458-2391707	chr1:2389924-2389996	1.711	-
ENSG00000157881.13	PANK4	chr1:2526464-2526628	chr1:2521717-2521800	4.828	-
ENSG00000157881.13	PANK4	chr1:2525601-2526187	chr1:2521717-2521800	4.387	-
ENSG00000157870.14	FAM213B	chr1:2586491-2586591	chr1:2588529-2588625	2.038	+
ENSG00000157870.14	FAM213B	chr1:2586491-2586591	chr1:2588549-2588625	2.058	+
ENSG00000157870.14	FAM213B	chr1:2586750-2586948	chr1:2588529-2588625	1.779	+
ENSG00000157870.14	FAM213B	chr1:2586750-2586948	chr1:2588549-2588625	1.799	+
ENSG00000142606.15	MMEL1	chr1:2593814-2594073	chr1:2591931-2592027	2.046	-
ENSG00000187017.15	ESPN	chr1:6448467-6448561	chr1:6448892-6449091	0.425	+
ENSG00000187017.15	ESPN	chr1:6447331-6447459	chr1:6448892-6449091	1.561	+
ENSG00000187017.15	ESPN	chr1:6448043-6448117	chr1:6448892-6449091	0.849	+
ENSG00000215788.9	TNFRSF25	chr1:6465440-6466195	chr1:6462862-6462970	3.225	-
ENSG00000215788.9	TNFRSF25	chr1:6465440-6466195	chr1:6465087-6465222	0.973	-
ENSG00000215788.9	TNFRSF25	chr1:6465440-6466195	chr1:6463071-6463127	3.068	-
ENSG00000204859.12	ZBTB48	chr1:6580001-6580136	chr1:6580540-6581299	0.539	+
ENSG00000041988.15	THAP3	chr1:6624866-6624954	chr1:6628498-6628691	3.632	+
ENSG00000142657.20	PGD	chr1:10399044-10399125	chr1:10403070-10403136	4.026	+
ENSG00000251503.8	APITD1-CORT	chr1:10430804-10431401	chr1:10434656-10434690	3.852	+
ENSG00000120948.16	TARDBP	chr1:11012344-11012743	chr1:11016843-11017007	4.499	+
ENSG00000120948.16	TARDBP	chr1:11018733-11019186	chr1:11020428-11020599	1.695	+
ENSG00000277726.4	RP4-635E18.9	chr1:11024793-11025208	chr1:11029686-11029781	4.893	+
ENSG00000277726.4	RP4-635E18.9	chr1:11023193-11023329	chr1:11024063-11024335	0.87	+
ENSG00000116688.16	MFN2	chr1:11980181-11980484	chr1:11981969-11982114	1.788	+
ENSG00000116691.10	MIIP	chr1:12019466-12019552	chr1:12021644-12021840	2.178	+
ENSG00000116731.22	PRDM2	chr1:13731000-13731117	chr1:13732778-13732855	1.778	+
ENSG00000116731.22	PRDM2	chr1:13731000-13731117	chr1:13732778-13732882	1.778	+
ENSG00000116138.12	DNAJC16	chr1:15526813-15526958	chr1:15529087-15529272	2.274	+
ENSG00000186510.11	CLCNKA	chr1:16021030-16021094	chr1:16024762-16024891	3.732	+
ENSG00000186510.11	CLCNKA	chr1:16021030-16021094	chr1:16024858-16024891	3.828	+
ENSG00000142632.16	ARHGEF19	chr1:16206948-16207210	chr1:16205537-16205667	1.543	-
ENSG00000157191.19	NECAP2	chr1:16440672-16440853	chr1:16443631-16443732	2.959	+
ENSG00000058453.16	CROCC	chr1:16930124-16930207	chr1:16931290-16931397	1.166	+
ENSG00000159423.16	ALDH4A1	chr1:18890694-18890891	chr1:18886463-18886511	4.38	-
ENSG00000053371.12	AKR7A2	chr1:19311827-19312146	chr1:19307313-19307410	4.736	-
ENSG00000053371.12	AKR7A2	chr1:19311827-19312146	chr1:19308157-19308262	3.884	-
ENSG00000162551.13	ALPL	chr1:21551279-21551428	chr1:21553977-21554142	2.698	+
ENSG00000011009.10	LYPLA2	chr1:23791971-23792017	chr1:23793859-23793930	1.888	+
ENSG00000011009.10	LYPLA2	chr1:23791971-23792017	chr1:23793007-23793039	1.036	+
ENSG00000011009.10	LYPLA2	chr1:23791971-23792017	chr1:23794062-23794136	2.091	+
ENSG00000011009.10	LYPLA2	chr1:23790970-23791250	chr1:23793859-23793930	2.889	+
ENSG00000011009.10	LYPLA2	chr1:23790970-23791250	chr1:23793007-23793039	2.037	+
ENSG00000011009.10	LYPLA2	chr1:23790970-23791250	chr1:23794062-23794136	3.092	+
ENSG00000117308.14	GALE	chr1:23799366-23800804	chr1:23796508-23796586	4.218	-
ENSG00000117308.14	GALE	chr1:23799366-23800804	chr1:23798886-23799012	1.792	-
ENSG00000001460.17	STPG1	chr1:24391924-24392071	chr1:24391560-24391679	0.392	-
ENSG00000117614.9	SYF2	chr1:25232444-25232502	chr1:25228997-25229123	3.379	-
ENSG00000183726.10	TMEM50A	chr1:25338460-25338817	chr1:25342960-25343073	4.5	+
ENSG00000183726.10	TMEM50A	chr1:25338460-25338817	chr1:25340473-25340579	2.013	+
ENSG00000117640.17	MTFR1L	chr1:25818640-25818852	chr1:25822995-25823128	4.355	+
ENSG00000117640.17	MTFR1L	chr1:25818640-25818852	chr1:25823018-25823128	4.378	+
ENSG00000117640.17	MTFR1L	chr1:25820762-25821003	chr1:25822995-25823128	2.233	+
ENSG00000117640.17	MTFR1L	chr1:25820762-25821003	chr1:25823018-25823128	2.256	+
ENSG00000117640.17	MTFR1L	chr1:25819906-25820029	chr1:25822995-25823128	3.089	+
ENSG00000117640.17	MTFR1L	chr1:25819906-25820029	chr1:25823018-25823128	3.112	+
ENSG00000117640.17	MTFR1L	chr1:25820188-25820659	chr1:25822995-25823128	2.807	+
ENSG00000117640.17	MTFR1L	chr1:25820188-25820659	chr1:25823018-25823128	2.83	+
ENSG00000142675.17	CNKSR1	chr1:26181587-26181941	chr1:26184070-26184141	2.483	+
ENSG00000142675.17	CNKSR1	chr1:26180168-26180610	chr1:26184070-26184141	3.902	+
ENSG00000158062.20	UBXN11	chr1:26303043-26303167	chr1:26302812-26302918	0.249	-
ENSG00000158062.20	UBXN11	chr1:26303043-26303167	chr1:26301693-26301722	1.445	-
ENSG00000158062.20	UBXN11	chr1:26302813-26303016	chr1:26301693-26301722	1.294	-
ENSG00000158062.20	UBXN11	chr1:26306856-26306989	chr1:26302812-26302918	4.071	-
ENSG00000117676.13	RPS6KA1	chr1:26543112-26543221	chr1:26547188-26547270	4.076	+
ENSG00000117676.13	RPS6KA1	chr1:26543112-26543221	chr1:26546866-26546983	3.754	+
ENSG00000142733.14	MAP3K6	chr1:27366258-27366892	chr1:27364660-27364684	2.208	-
ENSG00000130775.15	THEMIS2	chr1:27879644-27880054	chr1:27881970-27883043	2.326	+
ENSG00000130775.15	THEMIS2	chr1:27879644-27880054	chr1:27881970-27882077	2.326	+
ENSG00000130775.15	THEMIS2	chr1:27879644-27880054	chr1:27881970-27882125	2.326	+
ENSG00000134644.15	PUM1	chr1:30945346-30945483	chr1:30941921-30942123	3.36	-
ENSG00000134644.15	PUM1	chr1:30945346-30945483	chr1:30941997-30942123	3.36	-
ENSG00000134644.15	PUM1	chr1:30981917-30982145	chr1:30980061-30980163	1.982	-
ENSG00000134644.15	PUM1	chr1:30981917-30982145	chr1:30980061-30980178	1.967	-
ENSG00000134644.15	PUM1	chr1:30981917-30982145	chr1:30980061-30980166	1.979	-
ENSG00000142910.15	TINAGL1	chr1:31576485-31576595	chr1:31577133-31577458	0.648	+
ENSG00000084636.17	COL16A1	chr1:31703837-31704319	chr1:31702120-31702227	2.092	-
ENSG00000084636.17	COL16A1	chr1:31673024-31673226	chr1:31670555-31670646	2.58	-
ENSG00000084636.17	COL16A1	chr1:31673024-31673226	chr1:31670601-31670646	2.58	-
ENSG00000134668.12	SPOCD1	chr1:31799809-31799892	chr1:31796589-31796715	3.177	-
ENSG00000134668.12	SPOCD1	chr1:31799809-31799892	chr1:31796592-31796715	3.177	-
ENSG00000160050.14	CCDC28B	chr1:32200386-32200709	chr1:32204185-32204379	3.799	+
ENSG00000160050.14	CCDC28B	chr1:32200386-32200709	chr1:32204232-32204379	3.846	+
ENSG00000121905.9	HPCA	chr1:32885994-32886119	chr1:32888877-32889276	2.883	+
ENSG00000142920.16	AZIN2	chr1:33081104-33081508	chr1:33082177-33082354	1.073	+
ENSG00000142920.16	AZIN2	chr1:33081104-33081508	chr1:33082177-33083142	1.073	+
ENSG00000142920.16	AZIN2	chr1:33081104-33081508	chr1:33083953-33084127	2.849	+
ENSG00000163867.16	ZMYM6	chr1:35031815-35031968	chr1:35030546-35030713	1.255	-
ENSG00000142687.17	KIAA0319L	chr1:35557048-35557413	chr1:35554349-35554519	2.894	-
ENSG00000142687.17	KIAA0319L	chr1:35557550-35557655	chr1:35554349-35554519	3.136	-
ENSG00000214193.10	SH3D21	chr1:36306387-36306424	chr1:36307516-36307607	1.129	+
ENSG00000119535.17	CSF3R	chr1:36473719-36473887	chr1:36469155-36469257	4.63	-
ENSG00000163879.10	DNALI1	chr1:37556919-37557075	chr1:37559326-37559496	2.407	+
ENSG00000127603.23	MACF1	chr1:39300210-39300362	chr1:39302923-39303078	2.713	+
ENSG00000127603.23	MACF1	chr1:39434414-39434632	chr1:39436481-39436490	2.067	+
ENSG00000127603.23	MACF1	chr1:39434414-39434632	chr1:39437776-39438008	3.362	+
ENSG00000090621.13	PABPC4	chr1:39568698-39568939	chr1:39564700-39564773	4.166	-
ENSG00000090621.13	PABPC4	chr1:39568698-39568939	chr1:39564685-39564773	4.166	-
ENSG00000117010.15	ZNF684	chr1:40531561-40531787	chr1:40533142-40533181	1.581	+
ENSG00000164011.17	ZNF691	chr1:42846573-42846657	chr1:42849564-42849742	2.991	+
ENSG00000066322.14	ELOVL1	chr1:43366268-43366587	chr1:43365185-43365376	1.211	-
ENSG00000066322.14	ELOVL1	chr1:43366268-43366587	chr1:43364927-43365097	1.49	-
ENSG00000066322.14	ELOVL1	chr1:43366268-43366587	chr1:43364927-43365008	1.579	-
ENSG00000066322.14	ELOVL1	chr1:43367486-43367738	chr1:43365185-43365376	2.362	-
ENSG00000066322.14	ELOVL1	chr1:43367486-43367738	chr1:43364927-43365097	2.641	-
ENSG00000066322.14	ELOVL1	chr1:43367486-43367738	chr1:43364927-43365008	2.73	-
ENSG00000066322.14	ELOVL1	chr1:43367051-43367104	chr1:43365185-43365376	1.728	-
ENSG00000066322.14	ELOVL1	chr1:43367051-43367104	chr1:43364927-43365097	2.007	-
ENSG00000066322.14	ELOVL1	chr1:43367051-43367104	chr1:43364927-43365008	2.096	-
ENSG00000132768.13	DPH2	chr1:43970000-43970322	chr1:43971386-43972070	1.386	+
ENSG00000132768.13	DPH2	chr1:43970000-43970322	chr1:43970905-43971189	0.905	+
ENSG00000132768.13	DPH2	chr1:43970000-43970322	chr1:43971659-43972070	1.659	+
ENSG00000132768.13	DPH2	chr1:43970000-43970322	chr1:43970965-43971189	0.965	+
ENSG00000132768.13	DPH2	chr1:43970000-43970322	chr1:43970965-43971220	0.965	+
ENSG00000117410.13	ATP6V0B	chr1:43974487-43974614	chr1:43975664-43975848	1.177	+
ENSG00000117410.13	ATP6V0B	chr1:43974487-43974614	chr1:43975799-43975848	1.312	+
ENSG00000117410.13	ATP6V0B	chr1:43974487-43974614	chr1:43976589-43976659	2.102	+
ENSG00000117419.14	ERI3	chr1:44354892-44355260	chr1:44352849-44352925	2.335	-
ENSG00000173846.12	PLK3	chr1:44800225-44800673	chr1:44804649-44804779	4.424	+
ENSG00000126088.13	UROD	chr1:45012147-45012285	chr1:45013291-45013354	1.144	+
ENSG00000126088.13	UROD	chr1:45012147-45012285	chr1:45014438-45014576	2.291	+
ENSG00000126088.13	UROD	chr1:45012147-45012285	chr1:45014939-45015006	2.792	+
ENSG00000126088.13	UROD	chr1:45012147-45012285	chr1:45013135-45013215	0.988	+
ENSG00000126088.13	UROD	chr1:45012147-45012285	chr1:45013908-45014070	1.761	+
ENSG00000159592.10	GPBP1L1	chr1:45686993-45687146	chr1:45685575-45685620	1.526	-
ENSG00000159592.10	GPBP1L1	chr1:45687983-45688113	chr1:45685575-45685620	2.493	-
ENSG00000117461.14	PIK3R3	chr1:46132699-46133036	chr1:46131846-46131956	1.08	-
ENSG00000117472.9	TSPAN1	chr1:46183433-46183683	chr1:46184593-46184668	1.16	+
ENSG00000085999.11	RAD54L	chr1:46272466-46272540	chr1:46273623-46273747	1.157	+
ENSG00000085999.11	RAD54L	chr1:46272466-46272540	chr1:46273354-46273465	0.888	+
ENSG00000079277.19	MKNK1	chr1:46585496-46585560	chr1:46580529-46580627	4.933	-
ENSG00000162366.7	PDZK1IP1	chr1:47190700-47191044	chr1:47187318-47187427	3.617	-
ENSG00000172456.17	FGGY	chr1:59673657-59673795	chr1:59674038-59674133	0.381	+
ENSG00000142856.16	ITGB3BP	chr1:63447565-63447789	chr1:63446805-63446856	0.933	-
ENSG00000116717.11	GADD45A	chr1:67685061-67685538	chr1:67686024-67686126	0.963	+
ENSG00000116717.11	GADD45A	chr1:67685061-67685538	chr1:67686349-67686587	1.288	+
ENSG00000024526.16	DEPDC1	chr1:68496952-68497221	chr1:68494429-68494695	2.526	-
ENSG00000116754.13	SRSF11	chr1:70228422-70228727	chr1:70231858-70231975	3.436	+
ENSG00000117054.13	ACADM	chr1:75724347-75724817	chr1:75728388-75728488	4.041	+
ENSG00000117054.13	ACADM	chr1:75724347-75724817	chr1:75728400-75728488	4.053	+
ENSG00000137955.15	RABGGTB	chr1:75786197-75786274	chr1:75789158-75789356	2.961	+
ENSG00000137955.15	RABGGTB	chr1:75786197-75786274	chr1:75789951-75790057	3.754	+
ENSG00000137965.10	IFI44	chr1:78649796-78649905	chr1:78650185-78650652	0.389	+
ENSG00000137965.10	IFI44	chr1:78649796-78649905	chr1:78650540-78650652	0.744	+
ENSG00000142875.19	PRKACB	chr1:84181660-84181728	chr1:84184036-84184135	2.376	+
ENSG00000122417.15	ODF2L	chr1:86385458-86385590	chr1:86382241-86382358	3.232	-
ENSG00000122417.15	ODF2L	chr1:86383134-86383196	chr1:86382241-86382358	0.838	-
ENSG00000122417.15	ODF2L	chr1:86360426-86360921	chr1:86356443-86356602	4.319	-
ENSG00000137944.17	KYAT3	chr1:88992585-88992953	chr1:88988251-88988351	4.602	-
ENSG00000117226.11	GBP3	chr1:89022684-89022894	chr1:89020352-89020743	2.151	-
ENSG00000117226.11	GBP3	chr1:89022684-89022894	chr1:89020531-89020743	2.151	-
ENSG00000143033.17	MTF2	chr1:93118345-93118440	chr1:93120548-93120672	2.203	+
ENSG00000067334.13	DNTTIP2	chr1:93878548-93879918	chr1:93875644-93875783	4.135	-
ENSG00000023909.9	GCLM	chr1:93908665-93908924	chr1:93904522-93904588	4.336	-
ENSG00000143036.16	SLC44A3	chr1:94820621-94820723	chr1:94820948-94821056	0.327	+
ENSG00000117620.14	SLC35A3	chr1:99970436-99970644	chr1:99974970-99975069	4.534	+
ENSG00000117543.20	DPH5	chr1:100995110-100995150	chr1:100992636-100992740	2.41	-
ENSG00000060718.20	COL11A1	chr1:103030901-103031244	chr1:103026215-103026332	4.912	-
ENSG00000240038.6	AMY2B	chr1:103561757-103562094	chr1:103565434-103565594	3.677	+
ENSG00000243480.7	AMY2A	chr1:103616811-103617059	chr1:103619553-103619784	2.742	+
ENSG00000162639.15	HENMT1	chr1:108661184-108661526	chr1:108659863-108659962	1.564	-
ENSG00000116337.15	AMPD2	chr1:109623814-109624089	chr1:109625302-109625433	1.488	+
ENSG00000116337.15	AMPD2	chr1:109621269-109621422	chr1:109625302-109625433	4.033	+
ENSG00000168765.16	GSTM4	chr1:109656081-109656425	chr1:109657532-109657671	1.451	+
ENSG00000168765.16	GSTM4	chr1:109656081-109656425	chr1:109657589-109657671	1.508	+
ENSG00000213366.12	GSTM2	chr1:109668022-109668151	chr1:109671472-109671583	3.45	+
ENSG00000184371.13	CSF1	chr1:109910506-109910632	chr1:109914258-109914381	3.752	+
ENSG00000184371.13	CSF1	chr1:109910506-109910632	chr1:109910812-109911062	0.306	+
ENSG00000156171.14	DRAM2	chr1:111127983-111128027	chr1:111124741-111124881	3.146	-
ENSG00000064886.13	CHI3L2	chr1:111234907-111235057	chr1:111238749-111238932	3.842	+
ENSG00000064886.13	CHI3L2	chr1:111229692-111229881	chr1:111231237-111231294	1.545	+
ENSG00000134216.18	CHIA	chr1:111310374-111310492	chr1:111315269-111315435	4.895	+
ENSG00000173947.13	PIFO	chr1:111346288-111346671	chr1:111347673-111347772	1.385	+
ENSG00000116459.10	ATP5F1	chr1:111449682-111449873	chr1:111454210-111454356	4.528	+
ENSG00000064703.11	DDX20	chr1:111755245-111756225	chr1:111759399-111759568	4.154	+
ENSG00000007341.18	ST7L	chr1:112618007-112618217	chr1:112616812-112616895	1.322	-
ENSG00000007341.18	ST7L	chr1:112619910-112620825	chr1:112616812-112616895	3.93	-
ENSG00000007341.18	ST7L	chr1:112619910-112620825	chr1:112618908-112619139	1.686	-
ENSG00000155366.16	RHOC	chr1:112706732-112707434	chr1:112705099-112705168	2.266	-
ENSG00000134262.12	AP4B1	chr1:113904605-113905201	chr1:113902637-113902734	2.467	-
ENSG00000134262.12	AP4B1	chr1:113904605-113905201	chr1:113901235-113901383	3.818	-
ENSG00000134262.12	AP4B1	chr1:113904605-113905201	chr1:113902637-113902862	2.339	-
ENSG00000116830.11	TTF2	chr1:117096149-117096299	chr1:117097350-117097433	1.201	+
ENSG00000266338.6	NBPF15	chr1:144461381-144461674	chr1:144459365-144459483	2.191	-
ENSG00000266338.6	NBPF15	chr1:144461381-144461674	chr1:144460842-144460961	0.713	-
ENSG00000131791.7	PRKAB2	chr1:147172429-147172550	chr1:147167766-147167933	4.617	-
ENSG00000162836.11	ACP6	chr1:147659647-147659775	chr1:147659395-147659526	0.249	-
ENSG00000270629.5	NBPF14	chr1:148595855-148596011	chr1:148593597-148593700	2.311	-
ENSG00000270629.5	NBPF14	chr1:148595543-148595752	chr1:148593597-148593700	2.052	-
ENSG00000014914.20	MTMR11	chr1:149936582-149936869	chr1:149935583-149935705	1.164	-
ENSG00000014914.20	MTMR11	chr1:149936582-149936869	chr1:149935583-149935620	1.249	-
ENSG00000143401.14	ANP32E	chr1:150234579-150234678	chr1:150230570-150230693	3.985	-
ENSG00000143401.14	ANP32E	chr1:150234579-150234678	chr1:150231776-150231926	2.752	-
ENSG00000117362.12	APH1A	chr1:150268698-150269303	chr1:150267715-150267789	1.514	-
ENSG00000117362.12	APH1A	chr1:150268698-150269303	chr1:150267956-150268127	1.176	-
ENSG00000159208.15	CIART	chr1:150282543-150282618	chr1:150283804-150283880	1.261	+
ENSG00000143374.16	TARS2	chr1:150487364-150487516	chr1:150491597-150491662	4.233	+
ENSG00000143374.16	TARS2	chr1:150487364-150487516	chr1:150490600-150490725	3.236	+
ENSG00000143369.14	ECM1	chr1:150509302-150509359	chr1:150511456-150511831	2.154	+
ENSG00000143387.12	CTSK	chr1:150807249-150807434	chr1:150806101-150806224	1.21	-
ENSG00000143398.19	PIP5K1A	chr1:151233622-151233784	chr1:151238181-151238265	4.559	+
ENSG00000143393.16	PI4KB	chr1:151327271-151327715	chr1:151326171-151326373	1.342	-
ENSG00000143416.20	SELENBP1	chr1:151372638-151372733	chr1:151368999-151369189	3.544	-
ENSG00000143416.20	SELENBP1	chr1:151372638-151372733	chr1:151369003-151369189	3.544	-
ENSG00000143416.20	SELENBP1	chr1:151372638-151372733	chr1:151369441-151369554	3.179	-
ENSG00000143416.20	SELENBP1	chr1:151372638-151372733	chr1:151369441-151369506	3.227	-
ENSG00000143442.21	POGZ	chr1:151442081-151442205	chr1:151440927-151441086	1.119	-
ENSG00000143436.10	MRPL9	chr1:151763327-151763564	chr1:151761450-151761552	2.012	-
ENSG00000143450.16	OAZ3	chr1:151763578-151766888	chr1:151768057-151768233	4.479	+
ENSG00000189334.8	S100A14	chr1:153616853-153616986	chr1:153616294-153616355	0.631	-
ENSG00000189171.14	S100A13	chr1:153628121-153628248	chr1:153627482-153627598	0.65	-
ENSG00000189171.14	S100A13	chr1:153631011-153631360	chr1:153627482-153627598	3.762	-
ENSG00000198837.9	DENND4B	chr1:153942878-153943130	chr1:153942186-153942356	0.774	-
ENSG00000198837.9	DENND4B	chr1:153945135-153945269	chr1:153942186-153942356	2.913	-
ENSG00000198837.9	DENND4B	chr1:153946301-153946696	chr1:153942186-153942356	4.34	-
ENSG00000143570.17	SLC39A1	chr1:153963495-153963703	chr1:153962219-153962350	1.353	-
ENSG00000143549.19	TPM3	chr1:154178114-154178183	chr1:154176114-154176248	1.935	-
ENSG00000143549.19	TPM3	chr1:154178114-154178183	chr1:154176114-154176179	2.004	-
ENSG00000143575.14	HAX1	chr1:154272511-154272776	chr1:154273335-154273598	0.824	+
ENSG00000143575.14	HAX1	chr1:154272511-154272776	chr1:154273479-154273598	0.968	+
ENSG00000143575.14	HAX1	chr1:154272511-154272776	chr1:154273335-154273534	0.824	+
ENSG00000163346.16	PBXIP1	chr1:154956069-154956123	chr1:154951794-154951921	4.202	-
ENSG00000143537.13	ADAM15	chr1:155050946-155052777	chr1:155055701-155055852	4.755	+
ENSG00000143537.13	ADAM15	chr1:155050946-155052777	chr1:155053416-155053493	2.47	+
ENSG00000143537.13	ADAM15	chr1:155050946-155052777	chr1:155055789-155055852	4.843	+
ENSG00000143537.13	ADAM15	chr1:155050946-155052777	chr1:155055786-155055852	4.84	+
ENSG00000143590.13	EFNA3	chr1:155085516-155085642	chr1:155086127-155086205	0.611	+
ENSG00000169242.11	EFNA1	chr1:155129562-155129878	chr1:155133502-155133568	3.94	+
ENSG00000169241.17	SLC50A1	chr1:155135344-155135692	chr1:155137560-155137722	2.216	+
ENSG00000169241.17	SLC50A1	chr1:155135344-155135692	chr1:155136827-155136951	1.483	+
ENSG00000169241.17	SLC50A1	chr1:155135344-155135692	chr1:155137578-155137722	2.234	+
ENSG00000185499.16	MUC1	chr1:155192786-155192916	chr1:155188007-155188063	4.853	-
ENSG00000185499.16	MUC1	chr1:155192786-155192916	chr1:155188162-155188231	4.685	-
ENSG00000185499.16	MUC1	chr1:155192786-155192916	chr1:155188162-155188212	4.704	-
ENSG00000185499.16	MUC1	chr1:155192786-155192916	chr1:155188162-155188285	4.631	-
ENSG00000169231.13	THBS3	chr1:155203223-155203305	chr1:155200450-155200610	2.695	-
ENSG00000169231.13	THBS3	chr1:155203223-155203305	chr1:155201093-155201204	2.101	-
ENSG00000169231.13	THBS3	chr1:155207798-155207981	chr1:155203222-155203305	4.676	-
ENSG00000169231.13	THBS3	chr1:155207798-155207981	chr1:155204854-155204957	3.024	-
ENSG00000169231.13	THBS3	chr1:155207798-155207981	chr1:155203512-155203539	4.442	-
ENSG00000169231.13	THBS3	chr1:155208906-155209051	chr1:155204854-155204957	4.094	-
ENSG00000173171.14	MTX1	chr1:155208699-155209332	chr1:155212126-155212219	3.427	+
ENSG00000177628.15	GBA	chr1:155239886-155240077	chr1:155239615-155239762	0.315	-
ENSG00000177628.15	GBA	chr1:155244506-155244699	chr1:155239615-155239762	4.937	-
ENSG00000160767.20	FAM189B	chr1:155254653-155255483	chr1:155254399-155254456	1.027	-
ENSG00000160767.20	FAM189B	chr1:155254653-155255483	chr1:155250275-155250821	4.662	-
ENSG00000160767.20	FAM189B	chr1:155254653-155255483	chr1:155250275-155250929	4.554	-
ENSG00000116521.10	SCAMP3	chr1:155261946-155262430	chr1:155261656-155261734	0.696	-
ENSG00000176444.18	CLK2	chr1:155273201-155273516	chr1:155268707-155268795	4.721	-
ENSG00000176444.18	CLK2	chr1:155273201-155273516	chr1:155268707-155268792	4.724	-
ENSG00000125459.14	MSTO1	chr1:155610205-155610332	chr1:155611215-155611355	1.01	+
ENSG00000163374.19	YY1AP1	chr1:155675010-155675096	chr1:155670319-155670464	4.632	-
ENSG00000163374.19	YY1AP1	chr1:155688930-155689000	chr1:155688070-155688201	0.799	-
ENSG00000143622.10	RIT1	chr1:155911243-155911404	chr1:155910655-155910804	0.6	-
ENSG00000163479.13	SSR2	chr1:156020424-156020959	chr1:156018131-156018368	2.591	-
ENSG00000163479.13	SSR2	chr1:156020424-156020959	chr1:156018251-156018368	2.591	-
ENSG00000116586.11	LAMTOR2	chr1:156054752-156054957	chr1:156057977-156058067	3.225	+
ENSG00000132698.14	RAB25	chr1:156061160-156061443	chr1:156065910-156066106	4.75	+
ENSG00000196189.12	SEMA4A	chr1:156149723-156149878	chr1:156154549-156154717	4.826	+
ENSG00000196189.12	SEMA4A	chr1:156153527-156153764	chr1:156154549-156154717	1.022	+
ENSG00000196189.12	SEMA4A	chr1:156153527-156153764	chr1:156158387-156158486	4.86	+
ENSG00000196189.12	SEMA4A	chr1:156150019-156150093	chr1:156154549-156154717	4.53	+
ENSG00000163472.18	TMEM79	chr1:156282935-156283065	chr1:156285524-156285983	2.589	+
ENSG00000116604.17	MEF2D	chr1:156479586-156479796	chr1:156475107-156475237	4.559	-
ENSG00000143303.11	RRNAD1	chr1:156731991-156732473	chr1:156734008-156734493	2.017	+
ENSG00000143303.11	RRNAD1	chr1:156731991-156732473	chr1:156732984-156733047	0.993	+
ENSG00000143303.11	RRNAD1	chr1:156729516-156729562	chr1:156734008-156734493	4.492	+
ENSG00000143303.11	RRNAD1	chr1:156729516-156729562	chr1:156731990-156732115	2.474	+
